name,stars,no_of_ratings,price,discount,sleeve,fit,collar,brands
Slim Fit Herringbone Casual Shirt,4,125,1494,(35% OFF),Short Sleeves,Slim Fit,Spread Collar,RARE RABBIT
Pure Cotton Textured Self Design Slim Fit Opaque Casual Shirt,4.4,44,989,(45% OFF),Long Sleeves,Slim Fit,Spread Collar,POWERLOOK
The Lifestyle Co Men Light Blue Solid Regular Fit Chambray Casual Shirt,4.1,6800,614,(59% OFF),Long Sleeves,Regular Fit,Spread Collar,HIGHLANDER
Highlander Men Checked Slim Fit Shirt,4.3,2200,413,(77% OFF),Long Sleeves,Slim Fit,Spread Collar,HIGHLANDER
Classic Self Design Spread Collar Casual Shirt,4.4,12600,759,(60% OFF),Long Sleeves,Regular Fit,Spread Collar,ROADSTER
Men Navy Blue Magenta Pink Regular Fit Checked Casual Shirt,4.2,13400,588,(69% OFF),Long Sleeves,Regular Fit,Spread Collar,HIGHLANDER
Highlander Men Dusty Checked Slim Fit Shirt,4.4,1200,467,(74% OFF),Long Sleeves,Slim Fit,Spread Collar,HIGHLANDER
Men White Slim Fit Solid Casual Shirt,4.2,9600,395,(67% OFF),Long Sleeves,Slim Fit,Spread Collar,MAST & HARBOUR
Men White Slim Fit Casual Shirt,4.2,22500,329,(70% OFF),Long Sleeves,Slim Fit,Mandarin Collar,ROADSTER
Men White Classic Regular Fit Cotton Casual Shirt,4.2,14800,531,(62% OFF),Long Sleeves,Regular Fit,Spread Collar,THE INDIAN GARAGE CO
Men Spread Collar Graphic Printed Cotton Oversized Casual Shirt,4.2,31,971,(46% OFF),Short Sleeves,Oversized,Spread Collar,SNITCH
Men Blue & White Slim Fit Striped Casual Shirt,4.3,38700,512,(50% OFF),Long Sleeves,Slim Fit,Button-Down Collar,KOOK N KEECH
Men White & Teal Blue Slim Fit Striped Casual Shirt,4.1,46100,682,(61% OFF),Long Sleeves,Slim Fit,Spread Collar,HIGHLANDER
Men Alias-N Regular Fit Spread Collar Shirt,4,50,2727,(38% OFF),Long Sleeves,Regular Fit,Spread Collar,POWERLOOK
Men Navy Blue & Off White Slim Fit Printed Casual Shirt,4.3,18300,699,(65% OFF),Short Sleeves,Slim Fit,Mandarin Collar,ROADSTER
Abstract Printed Slim Fit Casual Shirt,4.2,468,699,(65% OFF),Long Sleeves,Slim Fit,Spread Collar,ROADSTER
Men Button-Down Collar Micro Checked Cotton Casual Shirt,4.8,16,1079,(46% OFF),Long Sleeves,Regular Fit,Button-Down Collar,POWERLOOK
Slim Fit Long Sleeves Spread Collar Casual Shirt,4.2,855,759,(62% OFF),Long Sleeves,Slim Fit,Spread Collar,HIGHLANDER
Men Pack Of 2 Sustainable Shirts,4.2,9800,923,(56% OFF),Long Sleeves,Slim Fit,Spread Collar,HERE&NOW
Men Striped Spread Collar Casual Shirt,4.4,56,935,(48% OFF),Long Sleeves,Regular Fit,Spread Collar,DENNIS LINGO
India Slim Checked Drop-Shoulder Sleeves Pure Cotton Oversized Casual Shirt,4.3,1600,935,(48% OFF),Long Sleeves,Oversized,Spread Collar,CAMPUS SUTRA
Classic Pure Cotton Casual Shirt,4.1,231,899,(82% OFF),Long Sleeves,Regular Fit,Spread Collar,ROADSTER
Self Design Corduroy Weave Oversized Casual Shirt,4.4,995,767,(68% OFF),Long Sleeves,Oversized,Cuban Collar,DENNIS LINGO
Men Navy Blue & Red Checked Casual Shirt,4.2,5700,599,(70% OFF),Long Sleeves,Regular Fit,Button-Down Collar,HIGHLANDER
Men Cream-Coloured & Navy Blue Tartan Checked Shirt,4.2,31500,559,(68% OFF),Long Sleeves,Regular Fit,Spread Collar,HIGHLANDER
Men Standard Opaque Checked Casual Shirt,4.2,2,899,(50% OFF),Long Sleeves,Regular Fit,Spread Collar,HIGHLANDER
Men Tartan Checks Opaque Checked Casual Shirt,4.1,101,1079,(46% OFF),Long Sleeves,Regular Fit,Spread Collar,POWERLOOK
Men White Slim Fit Casual Cotton Linen Shirt,4,2,399,(68% OFF),Long Sleeves,Slim Fit,Spread Collar,MAST & HARBOUR
Men Opaque Casual Shirt,3.9,24,791,(67% OFF),Long Sleeves,Regular Fit,Spread Collar,ROADSTER
Men Spread Collar Tartan Checked Cotton Relaxed Fit Casual Shirt,4,201,1079,(46% OFF),Long Sleeves,Relaxed Fit,Spread Collar,SNITCH
Men Pink & White Slim Fit Striped Casual Shirt,4.3,38700,639,(68% OFF),Long Sleeves,Slim Fit,Button-Down Collar,HIGHLANDER
Spread Collar Slim Fit Corduroy Casual Shirt,4.2,428,699,(65% OFF),Long Sleeves,Slim Fit,Spread Collar,HIGHLANDER
Men Opaque Casual Shirt,4.1,14,1187,(46% OFF),Long Sleeves,Regular Fit,Spread Collar,SNITCH
Geometric Printed Slim Fit Opaque Casual Shirt,4.3,2900,799,(60% OFF),Long Sleeves,Slim Fit,Spread Collar,V-MART
Men Slim Fit Opaque Striped Casual Shirt,4.3,780,639,(68% OFF),Long Sleeves,Slim Fit,Mandarin Collar,HIGHLANDER
Men Spread Collar Solid Casual Shirt,3.4,19,1079,(46% OFF),Long Sleeves,Regular Fit,Spread Collar,SNITCH
Men White Slim Fit Printed Casual Shirt,4.2,6900,391,(72% OFF),Long Sleeves,Slim Fit,Spread Collar,ROADSTER
The Lifestyle Co Pure Cotton Casual Shirts,4.1,1100,699,(65% OFF),Long Sleeves,Regular Fit,Spread Collar,HIGHLANDER
Men Spread Collar Tartan Checked Casual Shirt,4.2,388,935,(48% OFF),Long Sleeves,Regular Fit,Spread Collar,POWERLOOK
Men Standard Checked Casual Shirt,4.4,700,791,(67% OFF),Long Sleeves,Regular Fit,Button-Down Collar,ROADSTER
Grey Slim Fit Textured Opaque Casual Shirt,4.3,546,799,(60% OFF),Long Sleeves,Slim Fit,Spread Collar,METRONAUT
White Slim Fit Striped Short Sleeves Cotton Casual Shirt,4.2,3,781,(66% OFF),Short Sleeves,Slim Fit,Cuban Collar,HERE&NOW
Men Black & Blue Regular Fit Checked Casual Shirt,4.3,1300,689,(54% OFF),Long Sleeves,Regular Fit,Spread Collar,HIGHLANDER
Men Tartan Checks Opaque Checked Casual Shirt,4.4,45,1151,(36% OFF),Long Sleeves,Regular Fit,Spread Collar,RARE RABBIT
Men Grey Slim Fit Faded Cotton Casual Shirt,4.2,2200,431,(68% OFF),Long Sleeves,Slim Fit,Spread Collar,POWERLOOK
Men Navy Blue Slim Fit Casual Shirt,4.2,4,550,(71% OFF),Short Sleeves,Slim Fit,Spread Collar,HIGHLANDER
Spread Collar Plum Classic Slim Fit Satin Casual Shirt,4.4,39,1049,(30% OFF),Long Sleeves,Slim Fit,Spread Collar,HIGHLANDER
Men Black & Grey Slim Fit Checked Casual Shirt,4.1,16600,649,(50% OFF),Long Sleeves,Slim Fit,Spread Collar,ROADSTER
Men Standard Opaque Casual Pure Cotton Shirt,4.1,4100,699,(50% OFF),Long Sleeves,Regular Fit,Spread Collar,HIGHLANDER
Long Sleeves Zip Log Cotton Casual Shirt,3.6,38,1599,(20% OFF),Long Sleeves,Regular Fit,Spread Collar,SNITCH
Men Spread Collar Tartan Checked Casual Shirt,4.3,59,899,(50% OFF),Long Sleeves,Regular Fit,Spread Collar,HIGHLANDER
Men Black Slim Fit Faded Denim Shirt,4.2,7200,611,(66% OFF),Long Sleeves,Slim Fit,Spread Collar,MAST & HARBOUR
Men Cream-Coloured & Black Shepherd Checked Casual Shirt,4.2,31500,682,(61% OFF),Long Sleeves,Regular Fit,Spread Collar,POWERLOOK
Vertical Stripe Cotton Summer Shirt,4.3,41,1295,(28% OFF),Long Sleeves,Slim Fit,Spread Collar,ROADSTER
Men Teal Blue & White Slim Fit Striped Casual Shirt,4.3,5900,626,(67% OFF),Long Sleeves,Slim Fit,Mandarin Collar,SNITCH
Men Blue & White Slim Fit Checked Casual Shirt,4.1,2500,402,(77% OFF),Long Sleeves,Slim Fit,Spread Collar,KOOK N KEECH
The Lifestyle Co Men Green Solid Pure Cotton Regular Fit Casual Shirt,4,664,734,(51% OFF),Long Sleeves,Regular Fit,Spread Collar,ROADSTER
Blue Slim Fit Vertical Striped Cotton Casual Shirt,4,575,659,(70% OFF),Long Sleeves,Slim Fit,Spread Collar,ROADSTER
Men Yellow Comfort Checked Regular Fit Casual Shirt,4.2,31500,594,(66% OFF),Long Sleeves,Regular Fit,Spread Collar,HERE&NOW
Men Black & White Buffalo Checks Checked Cotton Casual Shirt,4.2,11900,559,(68% OFF),Long Sleeves,Regular Fit,Spread Collar,DENNIS LINGO
Men Double Pocket Shirt,4,45,1019,(66% OFF),Long Sleeves,Regular Fit,Spread Collar,ROADSTER
Men Standard Opaque Casual Pure Cotton Shirt,4.1,4100,671,(44% OFF),Long Sleeves,Regular Fit,Spread Collar,SNITCH
Green & Rust Slim Fit Tartan Checks Casual Shirt,4.1,3400,650,(69% OFF),Long Sleeves,Slim Fit,Spread Collar,DENNIS LINGO
Men turquoise Blue Slim Fit Pure Cotton Casual Shirt,4.2,5300,899,(50% OFF),Long Sleeves,Slim Fit,Spread Collar,HIGHLANDER
Men Classic Slim Fit Opaque Casual Shirt,3.8,26,1104,(35% OFF),Long Sleeves,Slim Fit,Button-Down Collar,DENNIS LINGO
Men Comfort Opaque Casual Shirt,4.4,53,683,(64% OFF),Long Sleeves,Regular Fit,Spread Collar,HIGHLANDER
