,name,stars,no_of_ratings,price,discount,sleeve,fit,collar
0,Slim Fit Herringbone Casual Shirt,4,125 Ratings,â‚¹1494,(35% OFF),Short Sleeves,Slim Fit,Spread Collar
1,Pure Cotton Textured Self Design Slim Fit Opaque Casual Shirt,4.4,44 Ratings,â‚¹989,(45% OFF),Long Sleeves,Slim Fit,Spread Collar
2,The Lifestyle Co Men Light Blue Solid Regular Fit Chambray Casual Shirt,4.1,6.8k Ratings,â‚¹614,(59% OFF),Long Sleeves,Regular Fit,Spread Collar
3,Highlander Men Checked Slim Fit Shirt,4.3,2.2k Ratings,â‚¹413,(77% OFF),Long Sleeves,Slim Fit,Spread Collar
4,Men Classic Tartan Checks Opaque Checked Casual Shirt,,,â‚¹989,(67% OFF),Long Sleeves,Regular Fit,Spread Collar
5,Classic Self Design Spread Collar Casual Shirt,4.4,12.6k Ratings,â‚¹759,(60% OFF),Long Sleeves,Regular Fit,Spread Collar
6,Men Navy Blue Magenta Pink Regular Fit Checked Casual Shirt,4.2,13.4k Ratings,â‚¹588,(69% OFF),Long Sleeves,Regular Fit,Spread Collar
7,Men Double Pocket Oversized Ombre Dyed Shirt,,,â‚¹1019,(66% OFF),Long Sleeves,Oversized,Spread Collar
8,Highlander Men Dusty Checked Slim Fit Shirt,4.4,1.2k Ratings,â‚¹467,(74% OFF),Long Sleeves,Slim Fit,Spread Collar
9,Men White Slim Fit Solid Casual Shirt,4.2,9.6k Ratings,â‚¹395,(67% OFF),Long Sleeves,Slim Fit,Spread Collar
10,Men Classic Tartan Checks Opaque Checked Casual Shirt,,,â‚¹1199,(60% OFF),Long Sleeves,Regular Fit,Spread Collar
11,Men White Slim Fit Casual Shirt,4.2,22.5k Ratings,â‚¹329,(70% OFF),Long Sleeves,Slim Fit,Mandarin Collar
12,Men White Classic Regular Fit Cotton Casual Shirt,4.2,14.8k Ratings,â‚¹531,(62% OFF),Long Sleeves,Regular Fit,Spread Collar
13,Men Spread Collar Graphic Printed Cotton Oversized Casual Shirt,4.2,31 Ratings,â‚¹971,(46% OFF),Short Sleeves,Oversized,Spread Collar
14,Men Blue & White Slim Fit Striped Casual Shirt,4.3,38.7k Ratings,â‚¹512,(Rs. 1587 OFF),Long Sleeves,Slim Fit,Button-Down Collar
15,Men White & Teal Blue Slim Fit Striped Casual Shirt,4.1,46.1k Ratings,â‚¹682,(61% OFF),Long Sleeves,Slim Fit,Spread Collar
16,Men Alias-N Regular Fit Spread Collar Shirt,4,50 Ratings,â‚¹2727,(38% OFF),Long Sleeves,Regular Fit,Spread Collar
17,Men Navy Blue & Off White Slim Fit Printed Casual Shirt,4.3,18.3k Ratings,â‚¹699,(65% OFF),Short Sleeves,Slim Fit,Mandarin Collar
18,Abstract Printed Slim Fit Casual Shirt,4.2,468 Ratings,â‚¹699,(65% OFF),Long Sleeves,Slim Fit,Spread Collar
19,Men Button-Down Collar Micro Checked Cotton Casual Shirt,4.8,16 Ratings,â‚¹1079,(46% OFF),Long Sleeves,Regular Fit,Button-Down Collar
20,Slim Fit Long Sleeves Spread Collar Casual Shirt,4.2,855 Ratings,â‚¹759,(62% OFF),Long Sleeves,Slim Fit,Spread Collar
